1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 
3 15 42 90 165 273 420 612 855 1155 1518 1950 2457 3045 3720 4488 5355 6327 7410 8610 
4 36 144 400 900 1764 3136 5184 8100 12100 17424 24336 33124 44100 57600 73984 93636 116964 144400 176400 
5 85 490 1770 4895 11375 23380 43860 76665 126665 199870 303550 446355 638435 891560 1219240 1636845 2161725 2813330 3613330 
6 198 1656 7800 26550 73206 174048 370656 724950 1324950 2291256 3784248 6012006 9238950 13795200 20086656 28605798 39943206 54799800 73999800 
7 455 5558 34230 143605 470197 1293740 3128748 6848835 13848835 26249762 47151650 80939313 133646065 213380440 330820952 499783935 737869503 1067190670 1515190670 
8 1032 18528 149600 774600 3014088 9602432 26379648 64643400 144643400 300540768 587195232 1089183368 1932491400 3299366400 5446850048 8729559432 13627319688 20778293600 31018293600 
9 2313 61362 651186 4166811 19283355 71166564 222161508 609581997 1509581997 3438811926 7308647190 14650223679 27932325183 50998340808 89653046472 152434863441 251614508625 404466575994 634866575994 
10 5130 201960 2823400 22354650 123131610 526667680 1868844960 5743049850 15743049850 39322526760 90920330280 196965324010 403575791850 788009385600 1475204152960 2661082917930 4644675821610 7871552799400 12991552799400 
11 11275 660814 12195150 119617025 784744961 3891972700 15703132764 54057761175 164057761175 449369431786 1130460438250 2646903848589 5828705053325 12171859350200 24266487255736 46442420160675 85717559653539 153159288489350 265799288489350 
12 24588 2150352 52482000 638419500 4991984172 28719905088 131799120192 508371835500 1708371835500 5132111882832 14048212331088 35554137059532 84148919095500 187945989408000 399052221940992 810314977632588 1581535898583372 2979419005362000 5437019005362000 
13 53261 6961994 225065802 3398893927 31697064295 211633797908 1104986995476 4776570969729 17776570969729 58576139867102 174485445694430 477360552286683 1214381413165531 2901083805743656 6560258502982184 14134347586969077 29173155545509365 57946249493369458 111194249493369458 
14 114702 22435224 961959320 18051803070 200901519294 1557347664992 9253929059424 44840050656030 184840050656030 668158020671064 2166062895978072 6406314388269614 17518321213827630 44765052170858880 107815446954045824 246479539414728942 538001047534125294 1126742816005724120 2273622816005724120 
15 245775 71990310 4098522150 95651256525 1271113717965 11444459810700 77415157477260 420567044301675 1920567044301675 7616814548050290 26875591516283250 85936237301772585 252616339685142825 690510230066002200 1771374140634921240 4297041539025935175 9919242052757150535 21904342339500412350 46480342339500412350 
16 524304 230106816 17409976000 505691226000 8028650979216 83989635138304 646939588559616 3941197702074000 19941197702074000 86777168412724416 333289513606106304 1152263801831558416 3641353330756554000 10647655576850304000 29094399650559855616 74893168474716908304 182839418338356243216 425737450816353016000 950025450816353016000 
17 1114129 732908386 73747352418 2667741493043 50626609919795 615586429603012 5400661033684164 36902004244165461 206902004244165461 988047411924892198 4131079813140511270 15443162169254568567 52468368912013877879 164131310959133018504 477725960212195395976 1304966222098532160153 3369438250740634440345 8272942281390194290922 19414062281390194290922 
18 2359314 2326882248 311564527560 14044474683810 318724344689058 4506073596458784 45038470242793248 345227740836791490 2145227740836791490 11243274253824079368 51178274175151945224 206885760724016028018 755730001851977554290 2529200257894458023040 7841862551122808888448 22732187265076870643634 62078595340373408219058 160725558780499847565960 396655158780499847565960 
19 4980755 7365970046 1313036028030 73792284074905 2003431460774809 32943289821073340 375216861501231036 3227014932144214335 22227014932144214335 127865443888496612474 633708776225316246650 2770361508312506716101 10881059738314604826565 38961005458987212248440 128685968633510471308664 395884573222797246137835 1143466326653431460070891 3121885982313745049194870 8102621982313745049194870 
20 10485780 23255715120 5520813854000 386990540416500 12574185340626420 240552089048089280 3122855850565206720 30139890204025048500 230139890204025048500 1453321699172315974320 7842921686584774511280 37081327494093696724820 156607406673071984668500 599974970683692101856000 2111132245201978570238720 6892580958905005067181780 21057287866011758594334420 60625680979218030376814000 165483280979218030376814000 
